Date,Open,High,Low,Close,Adj Close,Volume
2018-06-19,35552.468750,35552.468750,35249.058594,35286.738281,35286.738281,9000
2018-06-20,35329.609375,35571.371094,35329.511719,35547.328125,35547.328125,10200
2018-06-21,35644.050781,35678.691406,35396.968750,35432.390625,35432.390625,62300
2018-06-22,35428.421875,35741.261719,35344.488281,35689.601563,35689.601563,14700
2018-06-25,35783.750000,35806.968750,35430.109375,35470.351563,35470.351563,11800
2018-06-26,35355.718750,35616.640625,35338.089844,35490.039063,35490.039063,11500
2018-06-27,35543.890625,35618.851563,35154.210938,35217.109375,35217.109375,11300
2018-06-28,35207.191406,35282.398438,34937.148438,35037.640625,35037.640625,13000
2018-06-29,35128.160156,35459.050781,35099.648438,35423.480469,35423.480469,37800
2018-07-02,35545.218750,35578.238281,35106.570313,35264.410156,35264.410156,14800
2018-07-03,35344.210938,35445.210938,35195.628906,35378.601563,35378.601563,7700
2018-07-04,35385.519531,35667.308594,35309.671875,35645.398438,35645.398438,11900
2018-07-05,35703.171875,35748.261719,35517.789063,35574.550781,35574.550781,19300
2018-07-06,35543.660156,35799.710938,35532.210938,35657.859375,35657.859375,14600
2018-07-09,35835.101563,35977.371094,35779.718750,35934.718750,35934.718750,8400
2018-07-10,36068.269531,36274.328125,36019.628906,36239.621094,36239.621094,8800
2018-07-11,36299.261719,36362.300781,36169.699219,36265.929688,36265.929688,9400
2018-07-12,36424.230469,36699.531250,36422.078125,36548.410156,36548.410156,12300
2018-07-13,36635.140625,36740.070313,36501.609375,36541.628906,36541.628906,11900
2018-07-16,36658.710938,36658.710938,36298.941406,36323.769531,36323.769531,9600
2018-07-17,36390.988281,36549.550781,36261.781250,36519.960938,36519.960938,9200
2018-07-18,36722.410156,36747.871094,36320.921875,36373.441406,36373.441406,18400
2018-07-19,36509.078125,36515.578125,36279.328125,36351.230469,36351.230469,9400
2018-07-20,36377.031250,36567.339844,36335.609375,36496.371094,36496.371094,16300
2018-07-23,36501.050781,36749.691406,36491.828125,36718.601563,36718.601563,8100
2018-07-24,36859.390625,36902.058594,36709.718750,36825.101563,36825.101563,11600
2018-07-25,36928.058594,36947.179688,36803.148438,36858.230469,36858.230469,11000
2018-07-26,36928.378906,37061.621094,36852.531250,36984.640625,36984.640625,17800
2018-07-27,37253.859375,37368.621094,37134.878906,37336.851563,37336.851563,14700
2018-07-30,37491.390625,37533.500000,37292.449219,37494.398438,37494.398438,14100
2018-07-31,37534.949219,37644.589844,37298.750000,37606.578125,37606.578125,14000
2018-08-01,37643.871094,37711.871094,37432.910156,37521.621094,37521.621094,16100
2018-08-02,37529.691406,37529.691406,37128.988281,37165.160156,37165.160156,11700
2018-08-03,37327.160156,37582.269531,37319.609375,37556.160156,37556.160156,17800
